id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
A6hzHov7Kng,Why Venting Doesn’t Help You Deal with Anger | Jennifer Parlamis | TED,"Does venting actually help you cool off, or does it just add fuel to the fire? Social psychologist Jennifer Parlamis busts common myths about anger, showing how curiosity — not catharsis — can keep you calm. Discover the surprising science behind anger management and four practical tools for building stronger relationships from a researcher who’s rethinking Freud, one deep breath at a time. (Recorded at TEDxGVAGrad on March 15, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/jenniferparlamis

https://youtu.be/A6hzHov7Kng

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Health",2025-11-26T16:00:28Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'health', 'psychology', 'emotions', 'mental health']",22,en,en,https://i.ytimg.com/vi/A6hzHov7Kng/default.jpg,https://i.ytimg.com/vi/A6hzHov7Kng/hqdefault.jpg,PT15M3S,11310,416,38,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
ueaAdCKDCH0,Odds are you’ve never eaten at a Native American restaurant — this chef is trying to change that,,2025-11-26T04:10:06Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/ueaAdCKDCH0/default.jpg,https://i.ytimg.com/vi/ueaAdCKDCH0/hqdefault.jpg,PT1M41S,19992,943,26,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
CfPFU4UaaRA,How to Measure the Planet’s Heartbeat | Yadvinder Malhi | TED,"Ecosystem scientist Yadvinder Malhi takes us on a jaw-dropping journey through the hidden flows of energy that make life on Earth tick. From sun-soaked forests to tropical islands, he shows how his team measures the vibrancy of ecosystems across the world. This complex web of energy isn't just nature's masterpiece, he says — it's a lifeline for all of us that call this planet home. (Recorded at TED Countdown Summit 2025 on June 18, 2025)

Countdown is TED's global initiative to accelerate solutions to the climate crisis. The goal: to build a better future by cutting greenhouse gas emissions in half by 2030, in the race to a zero-carbon world. Get involved at https://countdown.ted.com

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/yadvindermalhi

https://youtu.be/CfPFU4UaaRA

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #ClimateChange",2025-11-25T16:00:30Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'climate change', 'biosphere', 'nature', 'biodiversity', 'ecology']",28,en,en,https://i.ytimg.com/vi/CfPFU4UaaRA/default.jpg,https://i.ytimg.com/vi/CfPFU4UaaRA/hqdefault.jpg,PT14M39S,9815,241,15,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
KTM2XfNpeWA,Warning: This video might make you hungry. #Singapore #TEDx #GlobalIdeaSearch,,2025-11-25T00:23:40Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/KTM2XfNpeWA/default.jpg,https://i.ytimg.com/vi/KTM2XfNpeWA/hqdefault.jpg,PT58S,14084,190,2,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
PFhhtot1q1M,Join local Atlanta food creator Tiery Reese for a taste of the Alps in Atlanta at Avize #TEDTalks,,2025-11-24T22:00:33Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/PFhhtot1q1M/default.jpg,https://i.ytimg.com/vi/PFhhtot1q1M/hqdefault.jpg,PT1M42S,17074,229,3,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
p0IpMqUZKbs,How to Eat with Awareness and Purpose (w/ Sean Sherman) | How to Be a Better Human | TED,"If you remove ingredients like dairy, wheat, flour, cane sugar, beef, pork and chicken from your diet — then what do you eat? For Sioux chef Sean Sherman, excluding these colonial ingredients from his dishes gives him the opportunity to spotlight Indigenous produce and uplift local communities. Watch as Chris Duffy, host of the podcast “How to Be a Better Human,” travels to Minneapolis, Minnesota, to meet Sherman and ethnobotanist Linda Black Elk as they talk about foraging, access to Indigenous ingredients and how food connects us to our ancestors.

This episode is part of a series of bonus videos from ""How to Be a Better Human."" You can find the extended interview on the TED Audio Collective YouTube Channel.
Listen to this episode wherever you get your podcast: https://link.mgln.ai/iE9fFE

Follow
Host: Chris Duffy (Instagram: @chrisiduffy | https://chrisduffycomedy.com/)
Guests:
Sean Sherman (Instagram: @the_sioux_chef and @siouxchef | https://seansherman.com/)  
Linda Black Elk (Instagram: @linda.black.elk)

Links
Humor Me by Chris Duffy (https://t.ted.com/ZGuYfcL)
Instagram: @owamni | Facebook: @Owamni - By The Sioux Chef | https://owamni.com/
Instagram: @natifs_org | Facebook: @NATIFSorg | https://natifs.org/

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks 
Podcasts: https://www.ted.com/podcasts

Podcasts: https://www.ted.com/podcasts
Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

https://youtu.be/p0IpMqUZKbs

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #HowToBeABetterHuman",2025-11-24T17:01:30Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/p0IpMqUZKbs/default.jpg,https://i.ytimg.com/vi/p0IpMqUZKbs/hqdefault.jpg,PT15M24S,16692,509,22,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
cesx1-XaLb8,Are people born wicked? Or do they have wickedness thrust upon them? #TEDTalk,"If you've ever been swept away by the worlds of ""Wicked,"" ""Hamilton"" or ""West Side Story,"" you've seen Paul Tazewell's breathtaking costumes. The Oscar-winning designer (whose work features in ""Wicked: For Good"") explores the subconscious language of clothing and how it shapes who we view as heroes — and who we view as villains.",2025-11-23T19:00:43Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/cesx1-XaLb8/default.jpg,https://i.ytimg.com/vi/cesx1-XaLb8/hqdefault.jpg,PT1M54S,23987,810,21,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
zxKFzT6GjUk,The Secret Language of Cells — and How to “Speak” It | Chris Bahl | TED,"What if medicines could ""speak"" directly to your cells? Protein designer and TED Fellow Chris Bahl introduces a new generation of miniproteins: AI-designed medicines that can deliver detailed instructions to fix what's making you sick. He shares how this breakthrough could potentially unlock safer, more effective treatments for some of humanity's most challenging diseases. (Recorded at TED2025 on April 9, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/chrisbahl

https://youtu.be/zxKFzT6GjUk

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Science",2025-11-23T16:01:37Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'science', 'technology', 'health', 'medicine']",28,en,en,https://i.ytimg.com/vi/zxKFzT6GjUk/default.jpg,https://i.ytimg.com/vi/zxKFzT6GjUk/hqdefault.jpg,PT3M40S,26530,891,45,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
CwfEXpoD7_I,US politics are polarized — these two governors believe there’s a better way forward #TEDTalks,"Two current US governors — Democrat Matt Meyer of Delaware and Republican J. Kevin Stitt of Oklahoma — trade notes on how to rebuild trust without partisan theater. In this special segment of ""On the Spot"" (TED's rapid-fire Q&A format), they share thoughts on leading when people live in different realities, swapping outrage for outcomes and why we need to govern like neighbors, not enemies.",2025-11-22T18:00:15Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/CwfEXpoD7_I/default.jpg,https://i.ytimg.com/vi/CwfEXpoD7_I/hqdefault.jpg,PT1M31S,27079,706,37,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
YQRt9TfpetM,How Video Games Can Power Up Your Parenting | Hannah Boquet | TED,"Parenting an eye-rolling teenager glued to a gaming system is not a simple feat, but what if you could turn screen time into an opportunity for connection? Hannah Boquet shares how she decided to play video games with her kids and discovered the power of esports to foster trust, communication and essential life skills. Dive deeper into how you can strengthen family bonds, support your child’s development — and maybe even be considered “cool” by your kid. (Recorded at TEDxSioux Falls on April 18, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/hannahbouquet

https://youtu.be/YQRt9TfpetM

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Technology",2025-11-22T16:00:51Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'technology', 'video games', 'gaming', 'parenting']",22,en,en,https://i.ytimg.com/vi/YQRt9TfpetM/default.jpg,https://i.ytimg.com/vi/YQRt9TfpetM/hqdefault.jpg,PT14M17S,22105,550,41,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5385
