id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount,is_transcript_available,duration_seconds,transcript
eFroGU5wZUI,All great ideas and no bad breath here in Athens. 2 more stops to go! #TEDTalks,,2025-12-01T23:45:02Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/eFroGU5wZUI/default.jpg,https://i.ytimg.com/vi/eFroGU5wZUI/hqdefault.jpg,PT49S,5107,77,1,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,49,
Bl-vPf_IAoA,We’re Doing AI All Wrong. Here’s How to Get It Right | Sasha Luccioni  | TED,"Artificial intelligence is changing everything — but at what cost? AI sustainability expert Sasha Luccioni exposes how tech companies' massive data centers are burning through energy and wrecking the planet. She introduces a powerful alternative: small but mighty AI models that could flip the script and make the technology smarter, fairer and sustainable. (Recorded at TED Countdown and Bezos Earth Fund on September 24, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/sashaluccioni25

https://youtu.be/Bl-vPf_IAoA

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Sustainability",2025-12-01T16:00:19Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'sustainability', 'future', 'AI', 'data', 'technology']",22,en,en,https://i.ytimg.com/vi/Bl-vPf_IAoA/default.jpg,https://i.ytimg.com/vi/Bl-vPf_IAoA/hqdefault.jpg,PT10M32S,18516,787,60,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,632,
wXBjUxe4Lvk,How to Raise Confident Kids in an Age of Anxiety | Lenore Skenazy | TED,"The secret to reducing childhood anxiety is actually quite simple: just let kids do more stuff on their own, says Lenore Skenazy, cofounder and president of Let Grow, an organization dedicated to normalizing childhood independence. In conversation with TED’s Whitney Pennington Rodgers, Skenazy discusses why parenting has become more demanding in our safety-obsessed world — and offers a more joyful, trusting alternative to helicopter parenting, with tangible steps for how to start safely (and sanely) letting your kids grow. (This conversation was part of an exclusive TED Membership event. TED Membership is the best way to support and engage with the big ideas you love from TED. To learn more, visit ted.com/membership.) (Recorded at TED Membership on September 17, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/lenoreskenazy25

https://youtu.be/wXBjUxe4Lvk

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Parenting",2025-11-30T16:01:35Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/wXBjUxe4Lvk/default.jpg,https://i.ytimg.com/vi/wXBjUxe4Lvk/hqdefault.jpg,PT41M33S,14242,366,19,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,2493,
RXwQ7_hlL3g,How to Unlock Your Flirting Superpowers | Francesca Hogi | TED,"What's the right way to flirt? According to love coach Francesca Hogi, it doesn't have to be shallow or creepy — it can be a genuine chance for human connection. In this smart, playful talk, she gives a much-needed rethink on flirting that will help you feel confident, spark chemistry and maybe even find love. (Recorded at TEDNext 2025 on November 10, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/francescahogi25

https://youtu.be/RXwQ7_hlL3g

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Love",2025-11-29T20:00:22Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'culture', 'love']",22,en,en,https://i.ytimg.com/vi/RXwQ7_hlL3g/default.jpg,https://i.ytimg.com/vi/RXwQ7_hlL3g/hqdefault.jpg,PT10M42S,68926,2881,94,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,642,
Fvg9sUgqbXc,"“If we can control our food, we can control our future” - Sean Sherman #TEDTalks","When you think of North American cuisine, do Indigenous foods come to mind? Chef Sean Sherman serves up an essential history lesson that explains the absence of Native American culinary traditions across the continent, highlighting why revitalizing Indigenous education sits at the center of a better diet and healthier relationship with the planet.",2025-11-28T20:30:06Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/Fvg9sUgqbXc/default.jpg,https://i.ytimg.com/vi/Fvg9sUgqbXc/hqdefault.jpg,PT1M27S,38919,1100,19,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,87,
7WurcdAkX-A,So sometimes money really is the answer #TEDTalks,"Sometimes the world's biggest issues can seem so intractable that meaningful change feels impossible. But what if the answer has been right in front of us all along? What if the answer is actually throwing money at the problems? In this thought-provoking talk, philanthropic advisor Natalie Cargill shares what might happen if we came together to spend 3.5 trillion dollars on fixing the world. And, yes, she also has a plan for where to get the money from.",2025-11-27T19:00:07Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/7WurcdAkX-A/default.jpg,https://i.ytimg.com/vi/7WurcdAkX-A/hqdefault.jpg,PT1M22S,35694,901,55,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,82,
C1TqBmezv20,What If You Could Talk to Your Favorite Character in a Movie? | Christoph Lassner | TED,"Imagine watching a movie where the main character turns, looks right at you and asks what to do next. That's the future of entertainment that AI engineer Christoph Lassner envisions, featuring interactive, AI-powered stories that you don’t just watch but also help create. He unpacks what this could mean for storytelling, imagining a world in which creators use generative AI to set the scene — and then let viewers take control of the rest. (Recorded at TEDAI Vienna on September 26, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/christophlassner

https://youtu.be/C1TqBmezv20

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Film",2025-11-27T16:00:22Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'film', 'culture', 'ai', 'future', 'media']",22,en,en,https://i.ytimg.com/vi/C1TqBmezv20/default.jpg,https://i.ytimg.com/vi/C1TqBmezv20/hqdefault.jpg,PT14M17S,18975,372,53,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,857,
A6hzHov7Kng,Why Venting Doesn’t Help You Deal with Anger | Jennifer Parlamis | TED,"Does venting actually help you cool off, or does it just add fuel to the fire? Social psychologist Jennifer Parlamis busts common myths about anger, showing how curiosity — not catharsis — can keep you calm. Discover the surprising science behind anger management and four practical tools for building stronger relationships from a researcher who’s rethinking Freud, one deep breath at a time. (Recorded at TEDxGVAGrad on March 15, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/jenniferparlamis

https://youtu.be/A6hzHov7Kng

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Health",2025-11-26T16:00:28Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'health', 'psychology', 'emotions', 'mental health']",22,en,en,https://i.ytimg.com/vi/A6hzHov7Kng/default.jpg,https://i.ytimg.com/vi/A6hzHov7Kng/hqdefault.jpg,PT15M3S,62852,1855,183,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,903,
ueaAdCKDCH0,Odds are you’ve never eaten at a Native American restaurant — this chef is trying to change that,,2025-11-26T04:10:06Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/ueaAdCKDCH0/default.jpg,https://i.ytimg.com/vi/ueaAdCKDCH0/hqdefault.jpg,PT1M41S,37175,1317,33,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,101,
CfPFU4UaaRA,How to Measure the Planet’s Heartbeat | Yadvinder Malhi | TED,"Ecosystem scientist Yadvinder Malhi takes us on a jaw-dropping journey through the hidden flows of energy that make life on Earth tick. From sun-soaked forests to tropical islands, he shows how his team measures the vibrancy of ecosystems across the world. This complex web of energy isn't just nature's masterpiece, he says — it's a lifeline for all of us that call this planet home. (Recorded at TED Countdown Summit 2025 on June 18, 2025)

Countdown is TED's global initiative to accelerate solutions to the climate crisis. The goal: to build a better future by cutting greenhouse gas emissions in half by 2030, in the race to a zero-carbon world. Get involved at https://countdown.ted.com

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/yadvindermalhi

https://youtu.be/CfPFU4UaaRA

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #ClimateChange",2025-11-25T16:00:30Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'climate change', 'biosphere', 'nature', 'biodiversity', 'ecology']",28,en,en,https://i.ytimg.com/vi/CfPFU4UaaRA/default.jpg,https://i.ytimg.com/vi/CfPFU4UaaRA/hqdefault.jpg,PT14M39S,12447,289,15,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5392,False,879,
