id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
bfeb6AS7efA,Porsche Cayenne EV has 1100HP and Wireless Charging!,"The 2026 Porsche Cayenne Electric Turbo is packing a wallop of tech and performance features. 

Shot on iPhone 17 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-11-19T14:15:04Z,,2,en,en,https://i.ytimg.com/vi/bfeb6AS7efA/default.jpg,https://i.ytimg.com/vi/bfeb6AS7efA/hqdefault.jpg,PT25M19S,474117,16975,1431,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
NzCJGD3XMm4,The Jeep Wagoneer S EV is Scary... (Not in a Good way),"Some engineers cooked... some didn't..

Shot on iPhone 17 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-11-10T21:20:23Z,,2,en,en,https://i.ytimg.com/vi/NzCJGD3XMm4/default.jpg,https://i.ytimg.com/vi/NzCJGD3XMm4/hqdefault.jpg,PT12M52S,806808,22634,2371,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
sI4y8jDO6kc,The 992.2 Porsche 911 Turbo S is Crazy.,"Might be time to upgrade....

Shot on iPhone 17 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-10-27T23:03:22Z,,2,en,en,https://i.ytimg.com/vi/sI4y8jDO6kc/default.jpg,https://i.ytimg.com/vi/sI4y8jDO6kc/hqdefault.jpg,PT17M12S,667609,28998,1216,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
2OvyyVxQjuI,"The Weirdest ""Car"" I've Ever Driven","The Aptera EV is finally real??

Shot on iPhone 17 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-10-21T16:51:12Z,,2,en,en,https://i.ytimg.com/vi/2OvyyVxQjuI/default.jpg,https://i.ytimg.com/vi/2OvyyVxQjuI/hqdefault.jpg,PT28M50S,862015,28787,5438,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
GUFPw25D0XM,The Glow Up is Crazy,"The new Kia EV6 has a lot going for it!

Shot on iPhone 17 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-10-10T17:10:32Z,,2,en,en,https://i.ytimg.com/vi/GUFPw25D0XM/default.jpg,https://i.ytimg.com/vi/GUFPw25D0XM/hqdefault.jpg,PT1M13S,497792,20290,437,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
llRut0MpjfU,The Best Alternatives to Every Tesla,"My alternative EVs for Tesla Model 3, Model Y, Model S, Model X and Cybertruck.

Shot on iPhone 17 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-10-08T20:45:16Z,,2,en,en,https://i.ytimg.com/vi/llRut0MpjfU/default.jpg,https://i.ytimg.com/vi/llRut0MpjfU/hqdefault.jpg,PT16M1S,1143312,31354,3166,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
n_wbyAf0Sfs,Mercedes G-Wagen EV - Terrible Specs But That's Not the Point,"The Mercedes G580 with EQ Technology does a 360 with the G-Wagen formula.

Shot on iPhone 17 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-10-03T16:05:08Z,,2,en,en,https://i.ytimg.com/vi/n_wbyAf0Sfs/default.jpg,https://i.ytimg.com/vi/n_wbyAf0Sfs/hqdefault.jpg,PT12M47S,655419,17731,948,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
U5P5WgYhz9Q,Lucid Gravity Review - Will this save Lucid?,"Get 10% off the Insta360 X5 at https://geni.us/PAtFF. The previous promo is has finished!

Lucid Gravity proves that EV brands can do amazing things if you're willing to sacrifice profit.

Shot on Pixel 10 Pro, iPhone 16 Pro Max and Insta360 X5
Rode Wireless Micro: https://geni.us/FBnQh",2025-09-03T16:02:01Z,,2,en,en,https://i.ytimg.com/vi/U5P5WgYhz9Q/default.jpg,https://i.ytimg.com/vi/U5P5WgYhz9Q/hqdefault.jpg,PT22M12S,735182,23239,2846,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
LvTo1PSlDkc,A Practical Race Car?,"Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-08-26T16:10:18Z,,2,en,en,https://i.ytimg.com/vi/LvTo1PSlDkc/default.jpg,https://i.ytimg.com/vi/LvTo1PSlDkc/hqdefault.jpg,PT1M4S,738885,27571,533,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
HcvF3XFlHeM,CarPlay Ultra Review - The Closest thing to an Apple Car!,"If you've got a newer iPhone and an Aston Martin, you're in luck.

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-08-08T22:51:59Z,,2,en,en,https://i.ytimg.com/vi/HcvF3XFlHeM/default.jpg,https://i.ytimg.com/vi/HcvF3XFlHeM/hqdefault.jpg,PT9M38S,1223360,29742,2061,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
xvnYl9yyxY8,Cadillac Celestiq - A Rolls Royce Killer?,"The Cadillac Celestiq is $350k and is pulling out all the stops. 

Shot on iPhone 16 Pro Max
Rode Wireless Micro: https://geni.us/FBnQh",2025-07-31T18:49:01Z,,2,en,en,https://i.ytimg.com/vi/xvnYl9yyxY8/default.jpg,https://i.ytimg.com/vi/xvnYl9yyxY8/hqdefault.jpg,PT15M29S,663955,17018,2116,public,UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus,Car videos from MKBHD!,,https://yt3.ggpht.com/hUes3DegxJOavHd_NNUcI4-1jAGDlqPjPqxJzfr27t5SZ3KnLtgbVF0VfK2FtVlldTtI-YEIWA=s88-c-k-c0x00ffffff-no-rj,1180000,117
