id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount,transcript
1NGG_Uqt5ik,Kaggle Winners Walkthroughs: Child Mind Institute — Problematic Internet Use with Team Kzk Knmt,"Learn about the winning approach by Team Kzk Knmt and the key techniques they used in Child Mind Institute — Problematic Internet Use competition.

This competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents. 

👉 Competition: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/leaderboard

About Kaggle:
Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #DataScience #PredictiveModeling #PublicHealth #ChildDevelopment",2025-08-22T14:21:41Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/1NGG_Uqt5ik/default.jpg,https://i.ytimg.com/vi/1NGG_Uqt5ik/hqdefault.jpg,PT11M54S,4412,100,12,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
nYfASGTlDD4,Kaggle Winners Walkthroughs: Child Mind Institute — Problematic Internet Use with Team sqrt4kaido,"Learn about the winning approach by Team sqrt4kaido and the key techniques they used in Child Mind Institute — Problematic Internet Use competition.

This competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents. 

👉 Competition: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/leaderboard

About Kaggle:
Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #DataScience #PredictiveModeling #PublicHealth #ChildDevelopment",2025-08-22T14:21:26Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/nYfASGTlDD4/default.jpg,https://i.ytimg.com/vi/nYfASGTlDD4/hqdefault.jpg,PT21M28S,763,19,5,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
wSp_-yNNIIY,Kaggle Winners Walkthroughs: Child Mind Institute — Problematic Internet Use with Team m_furu,"Learn about the winning approach by Team m_furu and the key techniques they used in Child Mind Institute — Problematic Internet Use competition.

This competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents. 

👉 Competition: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/leaderboard

About Kaggle:
Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #DataScience #PredictiveModeling #PublicHealth #ChildDevelopment",2025-08-22T14:21:00Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/wSp_-yNNIIY/default.jpg,https://i.ytimg.com/vi/wSp_-yNNIIY/hqdefault.jpg,PT14M7S,384,9,3,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
qVcges1phuE,Kaggle Winners Walkthroughs: Child Mind Institute—Problematic Internet Use with Team Peyman Armaghan,"Learn about the winning approach by Team Peyman Armaghan and the key techniques they used in Child Mind Institute — Problemmatic Internet Use competition.

This competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents. 


👉 Competition: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/leaderboard

About Kaggle:
Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #DataScience #PredictiveModeling #PublicHealth #ChildDevelopment",2025-08-22T13:40:33Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/qVcges1phuE/default.jpg,https://i.ytimg.com/vi/qVcges1phuE/hqdefault.jpg,PT13M56S,361,12,2,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
o1oQOHtgPjM,Kaggle Winners Walkthroughs: Child Mind Institute —Problematic Internet Use with Team Underfit Squad,"Learn about the winning approach by Team Underfit Squad and the key techniques they used in Child Mind Institute — Problematic Internet Use competition.

This competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents. 

👉 Competition: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/leaderboard

About Kaggle:
Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #DataScience #PredictiveModeling #PublicHealth #ChildDevelopment",2025-08-22T13:40:25Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/o1oQOHtgPjM/default.jpg,https://i.ytimg.com/vi/o1oQOHtgPjM/hqdefault.jpg,PT17M11S,234,3,1,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
g4lk16W4xK4,Kaggle Winners Walkthroughs: Child Mind Institute —Problematic Internet Use with Team Lennart Haupts,"Learn about the winning approach by Team Lennart Haupts and the key techniques they used in Child Mind Institute — Problematic Internet Use competition.

This competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents. 

👉 Competition: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/child-mind-institute-problematic-internet-use/leaderboard

About Kaggle:
Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #DataScience #PredictiveModeling #PublicHealth #ChildDevelopment",2025-08-22T13:39:56Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/g4lk16W4xK4/default.jpg,https://i.ytimg.com/vi/g4lk16W4xK4/hqdefault.jpg,PT12M14S,719,13,1,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
gXt0y4ogsik,Kaggle Solution Walkthroughs: Eedi - Mining Misconceptions in Mathematics with Team CQYR,"Learn about the winning approach by Team CQYR and the key techniques they used in Eedi - Mining Misconceptions in Mathematics competition.

This competition challenged participants to develop an NLP model driven by ML to accurately predict the affinity between misconceptions and incorrect answers (distractors) in multiple-choice questions. This solution suggested candidate misconceptions for distractors, making it easier for expert human teachers to tag distractors with misconceptions. 

👉 Competition: https://www.kaggle.com/competitions/eedi-mining-misconceptions-in-mathematics/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/eedi-mining-misconceptions-in-mathematics/leaderboard

About Kaggle:

Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #NLP #NaturalLanguageProcessing #MachineLearning #ML #AI #ArtificialIntelligence #EducationTech #EdTech #Misconceptions #QuestionAnswering #DataScience #TextAnalysis #DeepLearning #Competition",2025-08-22T13:28:09Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/gXt0y4ogsik/default.jpg,https://i.ytimg.com/vi/gXt0y4ogsik/hqdefault.jpg,PT13M41S,222,1,1,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
wC37FoXFrjA,Kaggle Solution Walkthroughs:Eedi - Mining Misconceptions in Mathematics with Team Dipam Chakraborty,"Learn about the winning approach by Team Dipam Chakraborty and the key techniques they used in Eedi - Mining Misconceptions in Mathematics competition.

This competition challenged participants to develop an NLP model driven by ML to accurately predict the affinity between misconceptions and incorrect answers (distractors) in multiple-choice questions. This solution suggested candidate misconceptions for distractors, making it easier for expert human teachers to tag distractors with misconceptions. 

👉 Competition: https://www.kaggle.com/competitions/eedi-mining-misconceptions-in-mathematics/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/eedi-mining-misconceptions-in-mathematics/leaderboard

About Kaggle:

Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #NLP #NaturalLanguageProcessing #MachineLearning #ML #AI #ArtificialIntelligence #EducationTech #EdTech #Misconceptions #QuestionAnswering #DataScience #TextAnalysis #DeepLearning #Competition",2025-08-22T13:28:03Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/wC37FoXFrjA/default.jpg,https://i.ytimg.com/vi/wC37FoXFrjA/hqdefault.jpg,PT11M42S,360,11,0,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
mvXEX06sTNo,Kaggle Solution Walkthroughs: Eedi - Mining Misconceptions in Mathematics with Team Waseda Pochi,"Learn about the winning approach by Team Waseda Pochi and the key techniques they used in Eedi - Mining Misconceptions in Mathematics competition.

This competition challenged participants to develop an NLP model driven by ML to accurately predict the affinity between misconceptions and incorrect answers (distractors) in multiple-choice questions. This solution suggested candidate misconceptions for distractors, making it easier for expert human teachers to tag distractors with misconceptions. 

👉 Competition: https://www.kaggle.com/competitions/eedi-mining-misconceptions-in-mathematics/overview
🏆 Leaderboard: https://www.kaggle.com/competitions/eedi-mining-misconceptions-in-mathematics/leaderboard

About Kaggle:

Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #NLP #NaturalLanguageProcessing #MachineLearning #ML #AI #ArtificialIntelligence #EducationTech #EdTech #Misconceptions #QuestionAnswering #DataScience #TextAnalysis #DeepLearning #Competition",2025-08-22T13:28:00Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/mvXEX06sTNo/default.jpg,https://i.ytimg.com/vi/mvXEX06sTNo/hqdefault.jpg,PT11M46S,126,2,1,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
THypzvPjL-Y,Kaggle Winners Walkthroughs: LLMs - You Can't Please Them All with Team Discussion is all you need,"Learn about the winning approach by Team Discussion is all you need and the key techniques they used in LLMs - You Can't Please Them All competition. 

This competition challenged participants to identify exploits for an LLM-as-a-judge system designed to evaluate the quality of essays. They were given a list of essay topics, and their goal was to submit an essay that maximized disagreement between the LLM judges. Their work helped build a better understanding of the capabilities and limitations of using LLMs for subjective evaluation tasks at scale.

👉 Competition: https://www.kaggle.com/competitions/llms-you-cant-please-them-all
🏆 Leaderboard: https://www.kaggle.com/competitions/llms-you-cant-please-them-all/leaderboard

About Kaggle:
Kaggle is the world's largest community of data scientists. Join us to compete, collaborate, learn, and do your data science work. Kaggle's platform is the fastest way to get started on a new data science project. Spin up a Jupyter notebook with a single click. Build with our huge repository of free code and data. Stumped? Ask the friendly Kaggle community for help.

Follow Kaggle online
🌐 Visit the WEBSITE: https://www.kaggle.com
✍️ Check out our BLOG: https://www.kaggle.com/blog
🐦 Follow Kaggle on TWITTER: https://twitter.com/kaggle
🔗 Connect with us on LINKEDIN: https://www.linkedin.com/company/kaggle
🎮 Join us on the Kaggle Discord server: http://discord.gg/kaggle
🎥 Subscribe to our YouTube channel: https://www.youtube.com/@kaggle

#Kaggle #LLM #AIethics #MachineLearning #NLP",2025-08-22T13:27:10Z,Kaggle|Kaggel|coffee chat|live-coding|live|learn|api|cli|python|data|data science|interview|questions|transfer learning|coding|networks|programming|technology|tech|machine learning|AI|artificial intelligence|coders|programmers|help|tutorial|projects|101|rstats|stats|statistics|what is kaggle|how to|github|developer|kernels|datasets|data visualization|deep learning|sql|challenge|competition|whitehat|code|lesson|CS,24,en,en-US,https://i.ytimg.com/vi/THypzvPjL-Y/default.jpg,https://i.ytimg.com/vi/THypzvPjL-Y/hqdefault.jpg,PT9M40S,196,2,0,public,UCSNeZleDn9c74yQc-EKnVTA,Kaggle,"Kaggle’s global community of practitioners, researchers, and enthusiasts collaborate to shape the frontier of AI. Through AI competitions, benchmarks, agentic evaluation, Kaggle serves as both the engine and proving ground for community-led innovation.",,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,
