id,title,description,publishedat,tags,categoryid,defaultlanguage,defaultaudiolanguage,thumbnail_default,thumbnail_high,duration,viewcount,likecount,commentcount,privacystatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscribercount,channel_videocount,transcript,duration_seconds
1NGG_Uqt5ik,kaggle winners walkthroughs  child mind institute   problematic internet use with team kzk knmt,"learn about the winning approach by team kzk knmt and the key techniques they used in child mind institute   problematic internet use competition 

this competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents  

  competition  https   www kaggle com competitions child mind institute problematic internet use overview
  leaderboard  https   www kaggle com competitions child mind institute problematic internet use leaderboard

about kaggle 
kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  datascience  predictivemodeling  publichealth  childdevelopment",2025-08-22T14:21:41Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/1NGG_Uqt5ik/default.jpg,https://i.ytimg.com/vi/1NGG_Uqt5ik/hqdefault.jpg,PT11M54S,4412,100,12,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,714
nYfASGTlDD4,kaggle winners walkthroughs  child mind institute   problematic internet use with team sqrt4kaido,"learn about the winning approach by team sqrt4kaido and the key techniques they used in child mind institute   problematic internet use competition 

this competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents  

  competition  https   www kaggle com competitions child mind institute problematic internet use overview
  leaderboard  https   www kaggle com competitions child mind institute problematic internet use leaderboard

about kaggle 
kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  datascience  predictivemodeling  publichealth  childdevelopment",2025-08-22T14:21:26Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/nYfASGTlDD4/default.jpg,https://i.ytimg.com/vi/nYfASGTlDD4/hqdefault.jpg,PT21M28S,763,19,5,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,1288
wSp_-yNNIIY,kaggle winners walkthroughs  child mind institute   problematic internet use with team m furu,"learn about the winning approach by team m furu and the key techniques they used in child mind institute   problematic internet use competition 

this competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents  

  competition  https   www kaggle com competitions child mind institute problematic internet use overview
  leaderboard  https   www kaggle com competitions child mind institute problematic internet use leaderboard

about kaggle 
kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  datascience  predictivemodeling  publichealth  childdevelopment",2025-08-22T14:21:00Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/wSp_-yNNIIY/default.jpg,https://i.ytimg.com/vi/wSp_-yNNIIY/hqdefault.jpg,PT14M7S,384,9,3,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,847
qVcges1phuE,kaggle winners walkthroughs  child mind institute problematic internet use with team peyman armaghan,"learn about the winning approach by team peyman armaghan and the key techniques they used in child mind institute   problemmatic internet use competition 

this competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents  


  competition  https   www kaggle com competitions child mind institute problematic internet use overview
  leaderboard  https   www kaggle com competitions child mind institute problematic internet use leaderboard

about kaggle 
kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  datascience  predictivemodeling  publichealth  childdevelopment",2025-08-22T13:40:33Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/qVcges1phuE/default.jpg,https://i.ytimg.com/vi/qVcges1phuE/hqdefault.jpg,PT13M56S,361,12,2,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,836
o1oQOHtgPjM,kaggle winners walkthroughs  child mind institute  problematic internet use with team underfit squad,"learn about the winning approach by team underfit squad and the key techniques they used in child mind institute   problematic internet use competition 

this competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents  

  competition  https   www kaggle com competitions child mind institute problematic internet use overview
  leaderboard  https   www kaggle com competitions child mind institute problematic internet use leaderboard

about kaggle 
kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  datascience  predictivemodeling  publichealth  childdevelopment",2025-08-22T13:40:25Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/o1oQOHtgPjM/default.jpg,https://i.ytimg.com/vi/o1oQOHtgPjM/hqdefault.jpg,PT17M11S,234,3,1,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,1031
g4lk16W4xK4,kaggle winners walkthroughs  child mind institute  problematic internet use with team lennart haupts,"learn about the winning approach by team lennart haupts and the key techniques they used in child mind institute   problematic internet use competition 

this competition challenged participants to develop a model that leverages physical activity and fitness data to identify early indicators of problematic technology use in children and adolescents  

  competition  https   www kaggle com competitions child mind institute problematic internet use overview
  leaderboard  https   www kaggle com competitions child mind institute problematic internet use leaderboard

about kaggle 
kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  datascience  predictivemodeling  publichealth  childdevelopment",2025-08-22T13:39:56Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/g4lk16W4xK4/default.jpg,https://i.ytimg.com/vi/g4lk16W4xK4/hqdefault.jpg,PT12M14S,719,13,1,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,734
gXt0y4ogsik,kaggle solution walkthroughs  eedi   mining misconceptions in mathematics with team cqyr,"learn about the winning approach by team cqyr and the key techniques they used in eedi   mining misconceptions in mathematics competition 

this competition challenged participants to develop an nlp model driven by ml to accurately predict the affinity between misconceptions and incorrect answers  distractors  in multiple choice questions  this solution suggested candidate misconceptions for distractors  making it easier for expert human teachers to tag distractors with misconceptions  

  competition  https   www kaggle com competitions eedi mining misconceptions in mathematics overview
  leaderboard  https   www kaggle com competitions eedi mining misconceptions in mathematics leaderboard

about kaggle 

kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  nlp  naturallanguageprocessing  machinelearning  ml  ai  artificialintelligence  educationtech  edtech  misconceptions  questionanswering  datascience  textanalysis  deeplearning  competition",2025-08-22T13:28:09Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/gXt0y4ogsik/default.jpg,https://i.ytimg.com/vi/gXt0y4ogsik/hqdefault.jpg,PT13M41S,222,1,1,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,821
wC37FoXFrjA,kaggle solution walkthroughs eedi   mining misconceptions in mathematics with team dipam chakraborty,"learn about the winning approach by team dipam chakraborty and the key techniques they used in eedi   mining misconceptions in mathematics competition 

this competition challenged participants to develop an nlp model driven by ml to accurately predict the affinity between misconceptions and incorrect answers  distractors  in multiple choice questions  this solution suggested candidate misconceptions for distractors  making it easier for expert human teachers to tag distractors with misconceptions  

  competition  https   www kaggle com competitions eedi mining misconceptions in mathematics overview
  leaderboard  https   www kaggle com competitions eedi mining misconceptions in mathematics leaderboard

about kaggle 

kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  nlp  naturallanguageprocessing  machinelearning  ml  ai  artificialintelligence  educationtech  edtech  misconceptions  questionanswering  datascience  textanalysis  deeplearning  competition",2025-08-22T13:28:03Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/wC37FoXFrjA/default.jpg,https://i.ytimg.com/vi/wC37FoXFrjA/hqdefault.jpg,PT11M42S,360,11,0,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,702
mvXEX06sTNo,kaggle solution walkthroughs  eedi   mining misconceptions in mathematics with team waseda pochi,"learn about the winning approach by team waseda pochi and the key techniques they used in eedi   mining misconceptions in mathematics competition 

this competition challenged participants to develop an nlp model driven by ml to accurately predict the affinity between misconceptions and incorrect answers  distractors  in multiple choice questions  this solution suggested candidate misconceptions for distractors  making it easier for expert human teachers to tag distractors with misconceptions  

  competition  https   www kaggle com competitions eedi mining misconceptions in mathematics overview
  leaderboard  https   www kaggle com competitions eedi mining misconceptions in mathematics leaderboard

about kaggle 

kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  nlp  naturallanguageprocessing  machinelearning  ml  ai  artificialintelligence  educationtech  edtech  misconceptions  questionanswering  datascience  textanalysis  deeplearning  competition",2025-08-22T13:28:00Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/mvXEX06sTNo/default.jpg,https://i.ytimg.com/vi/mvXEX06sTNo/hqdefault.jpg,PT11M46S,126,2,1,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,706
THypzvPjL-Y,kaggle winners walkthroughs  llms   you can t please them all with team discussion is all you need,"learn about the winning approach by team discussion is all you need and the key techniques they used in llms   you can t please them all competition  

this competition challenged participants to identify exploits for an llm as a judge system designed to evaluate the quality of essays  they were given a list of essay topics  and their goal was to submit an essay that maximized disagreement between the llm judges  their work helped build a better understanding of the capabilities and limitations of using llms for subjective evaluation tasks at scale 

  competition  https   www kaggle com competitions llms you cant please them all
  leaderboard  https   www kaggle com competitions llms you cant please them all leaderboard

about kaggle 
kaggle is the world s largest community of data scientists  join us to compete  collaborate  learn  and do your data science work  kaggle s platform is the fastest way to get started on a new data science project  spin up a jupyter notebook with a single click  build with our huge repository of free code and data  stumped  ask the friendly kaggle community for help 

follow kaggle online
  visit the website  https   www kaggle com
   check out our blog  https   www kaggle com blog
  follow kaggle on twitter  https   twitter com kaggle
  connect with us on linkedin  https   www linkedin com company kaggle
  join us on the kaggle discord server  http   discord gg kaggle
  subscribe to our youtube channel  https   www youtube com  kaggle

 kaggle  llm  aiethics  machinelearning  nlp",2025-08-22T13:27:10Z,kaggle kaggel coffee chat live coding live learn api cli python data data science interview questions transfer learning coding networks programming technology tech machine learning ai artificial intelligence coders programmers help tutorial projects 101 rstats stats statistics what is kaggle how to github developer kernels datasets data visualization deep learning sql challenge competition whitehat code lesson cs,24,en,en-US,https://i.ytimg.com/vi/THypzvPjL-Y/default.jpg,https://i.ytimg.com/vi/THypzvPjL-Y/hqdefault.jpg,PT9M40S,196,2,0,public,UCSNeZleDn9c74yQc-EKnVTA,kaggle,kaggle s global community of practitioners  researchers  and enthusiasts collaborate to shape the frontier of ai  through ai competitions  benchmarks  agentic evaluation  kaggle serves as both the engine and proving ground for community led innovation,,https://yt3.ggpht.com/A-vRsPyL8aPG91GJugZJFAeEF9OSCh7ahoEZv0L9LVqGaXAkXOXX5QKOiewwgN7ye4Dt0baKEg=s88-c-k-c0x00ffffff-no-rj,322000,541,,580
