id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
Pry6l7h48ro,The Thrill of Not Knowing All the Answers | Harini Bhat | TED,"In a world that prizes certainty, hot takes and instant answers, what happens when we celebrate the power of ... not knowing? Scientist and storyteller Harini Bhat shares how she built a mega-popular YouTube channel where curiosity, not credentials, drives discovery. From ancient brains turned to glass to the origins of life itself, she reminds us that science isn't just for scientists — it's for anyone willing to ask, ""Why?"" (Recorded at TEDNext 2025 on November 10, 2025) 

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/harinibhat

https://youtu.be/Pry6l7h48ro

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Curiosity",2025-12-05T16:00:45Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'science', 'discovery', 'history', 'curiosity']",22,en,en,https://i.ytimg.com/vi/Pry6l7h48ro/default.jpg,https://i.ytimg.com/vi/Pry6l7h48ro/hqdefault.jpg,PT7M53S,10927,449,20,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
UQwd9_XivaE,Ever wonder what happens to your favorite malls when they close? #TEDTalks,"What happens when a mall falls into ruin? Filmmaker Dan Bell guides us through abandoned monoliths of merchandise, providing a surprisingly funny and lyrical commentary on consumerism, youth culture and the inspiration we can find in decay.",2025-12-04T20:00:35Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/UQwd9_XivaE/default.jpg,https://i.ytimg.com/vi/UQwd9_XivaE/hqdefault.jpg,PT36S,54957,632,41,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
JdS4XiNKNWY,How to Empower the Next Generation of Pilots | Refilwe Ledwaba | TED,"What does it take to fly a plane? For TED Fellow Refilwe Ledwaba, it took perseverance and drive — and an instructor who took the time to teach to her learning style. Today, as founder of Girls Fly Africa, Ledwaba is empowering the next generation of pilots, particularly young women, with the engineering skills, professional networks and hands-on experience they need to take flight into a sky-high career. (Recorded at TED Fellows Films 2025 on April 7, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/refilweledwaba

https://youtu.be/JdS4XiNKNWY 

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Technology",2025-12-04T16:00:36Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'technology', 'engineering', 'pilots', 'africa']",22,en,en,https://i.ytimg.com/vi/JdS4XiNKNWY/default.jpg,https://i.ytimg.com/vi/JdS4XiNKNWY/hqdefault.jpg,PT6M42S,8560,237,16,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
MuSvgDpv4Io,The Brains of Altruistic and Psychopathic People (W/ Abigail Marsh) | How to Be a Better Human | TED,"Why is American culture so fascinated with psychopathic people and true crime stories? Why don’t billionaires give more? What makes some people so generous that they’d undergo surgery to donate an organ to a complete stranger? These are the kinds of questions that Abigail Marsh, a professor of psychology and neuroscience at Georgetown University, studies. Chris and Abigail discuss the brain differences between extreme altruists and psychopathic individuals, why psychopathic traits do not necessarily correlate with aggression, how parents can support children with behavioral issues, and what we can all do to train ourselves to be more altruistic.

Follow:
Host: Chris Duffy (Instagram: @chrisiduffy | chrisduffycomedy.com)
Guest: Abigail Marsh PhD (LinkedIn: @abigail-marsh) 

Links:
abigailmarsh.com/disordersofaggression.org
TED Talk: Why some people are more altruistic than others

Podcasts: ted.com/podcasts
Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

https://youtu.be/MuSvgDpv4Io

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #HowToBeABetterHuman",2025-12-03T16:00:40Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/MuSvgDpv4Io/default.jpg,https://i.ytimg.com/vi/MuSvgDpv4Io/hqdefault.jpg,PT41M33S,20225,519,44,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
Hjj7Nv_0--4,Do you — or someone you know — have ADHD? Here’s @HowtoADHD to help,"Jessica McCabe tell us the story of her life. Once a gifted child with bright future, who later lives a life of a constant failures, because one thing - her ADHD diagnosis. Until one thing changed everything and she realized, that she is not alone. Her Youtube channel HowtoADHD is dedicated to help not only people with ADHD, but also their parents, partners a teachers and to remind them, that they are not alone.",2025-12-02T21:15:01Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/Hjj7Nv_0--4/default.jpg,https://i.ytimg.com/vi/Hjj7Nv_0--4/hqdefault.jpg,PT1M19S,47839,1173,34,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
sleiarPAgKc,The Roots of Resilience | Misty Copeland | TED,"How did Misty Copeland break barriers and become one of the world's most famous ballerinas? In this powerful talk, she charts her rise from childhood adversity to history-making dancer at the prestigious American Ballet Theatre — and gives a peek at what she plans to do next. (Recorded at TEDNext 2025 on November 9, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/mistycopeland

https://youtu.be/sleiarPAgKc

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Culture",2025-12-02T16:15:13Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/sleiarPAgKc/default.jpg,https://i.ytimg.com/vi/sleiarPAgKc/hqdefault.jpg,PT12M19S,23634,685,29,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
eFroGU5wZUI,All great ideas and no bad breath here in Athens. 2 more stops to go! #TEDTalks,,2025-12-01T23:45:02Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/eFroGU5wZUI/default.jpg,https://i.ytimg.com/vi/eFroGU5wZUI/hqdefault.jpg,PT49S,16136,160,3,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
Bl-vPf_IAoA,We’re Doing AI All Wrong. Here’s How to Get It Right | Sasha Luccioni  | TED,"Artificial intelligence is changing everything — but at what cost? AI sustainability expert Sasha Luccioni exposes how tech companies' massive data centers are burning through energy and wrecking the planet. She introduces a powerful alternative: small but mighty AI models that could flip the script and make the technology smarter, fairer and sustainable. (Recorded at TED Countdown and Bezos Earth Fund on September 24, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/sashaluccioni25

https://youtu.be/Bl-vPf_IAoA

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Sustainability",2025-12-01T16:00:19Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'sustainability', 'future', 'AI', 'data', 'technology']",22,en,en,https://i.ytimg.com/vi/Bl-vPf_IAoA/default.jpg,https://i.ytimg.com/vi/Bl-vPf_IAoA/hqdefault.jpg,PT10M32S,60456,1858,132,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
wXBjUxe4Lvk,How to Raise Confident Kids in an Age of Anxiety | Lenore Skenazy | TED,"The secret to reducing childhood anxiety is actually quite simple: just let kids do more stuff on their own, says Lenore Skenazy, cofounder and president of Let Grow, an organization dedicated to normalizing childhood independence. In conversation with TED’s Whitney Pennington Rodgers, Skenazy discusses why parenting has become more demanding in our safety-obsessed world — and offers a more joyful, trusting alternative to helicopter parenting, with tangible steps for how to start safely (and sanely) letting your kids grow. (This conversation was part of an exclusive TED Membership event. TED Membership is the best way to support and engage with the big ideas you love from TED. To learn more, visit ted.com/membership.) (Recorded at TED Membership on September 17, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/lenoreskenazy25

https://youtu.be/wXBjUxe4Lvk

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Parenting",2025-11-30T16:01:35Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED']",22,en,en,https://i.ytimg.com/vi/wXBjUxe4Lvk/default.jpg,https://i.ytimg.com/vi/wXBjUxe4Lvk/hqdefault.jpg,PT41M33S,18172,426,25,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
RXwQ7_hlL3g,How to Unlock Your Flirting Superpowers | Francesca Hogi | TED,"What's the right way to flirt? According to love coach Francesca Hogi, it doesn't have to be shallow or creepy — it can be a genuine chance for human connection. In this smart, playful talk, she gives a much-needed rethink on flirting that will help you feel confident, spark chemistry and maybe even find love. (Recorded at TEDNext 2025 on November 10, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/francescahogi25

https://youtu.be/RXwQ7_hlL3g

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Love",2025-11-29T20:00:22Z,"['TEDTalk', 'TEDTalks', 'TED Talk', 'TED Talks', 'TED', 'culture', 'love']",22,en,en,https://i.ytimg.com/vi/RXwQ7_hlL3g/default.jpg,https://i.ytimg.com/vi/RXwQ7_hlL3g/hqdefault.jpg,PT10M42S,171287,6752,189,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s800-c-k-c0x00ffffff-no-rj,26900000,5398
