id,title
t8txtQkhMcY,scientists cant explain whats happening on this mountain in tibet
mmIidOoHCfs,138 million pirate treasure found on the ocean floor
QBHjeGGtIKE,if you see a rubber band on your door act fast
DvxiRgk2RZI,cleopatras tomb found egypts greatest discovery in 2000 years
CvTsL-WcrgQ,scientists just solved the mystery of killer waves
H8SAmnrwSfk,snakes so terrifying even titanoboa would run
mKyBAC62cCY,the victorian era was basically hardcore mode irl
C8VhOyBZvik,earth has invisible borders that no desert can cross
rYVclzUv0SQ,15 tricky riddles that will make you see what others miss
BGjRfCHkoVY,weirdest things people actually found in the desert
nAcNzWGTFUc,ships and planes didnt vanish here for the reasons you think
xeaqsMUlJ1s,a giant blob is slowly heading for new york
A_Td5u0eWx4,the arctic is falling apart whats hiding beneath the ice
1-1r_y_vOII,photos made by spacecraft before planets destroyed them
40IR9w4wtNs,myths so deeply rooted you never even questioned them
MnbzLHY8lyU,german scientists invented a teleporter
88cFABgA-08,the human body is the strangest thing youll ever live in
doZ4Q2ULR30,new mountain taller than 4 burj khalifas just found on earth
w6u72BsYwMk,20 riddles that turn your brain inside out
131tii9MGNo,namibias diamond miners find shipwreck with treasure
LVMV-KlQzbg,lighting a match on jupiter would it explode
F4o5IB7N3aE,theres a river of gold beneath us and its rising right now
ktNmhMI2LUI,gravity might be hiding the universes biggest secret
omLFarfwcJk,if you see this stone dont you dare touch it
_JmVAruzaCM,why americas streetlights are turning purple other facts about the us
rHgR_GgzHwg,sea creatures that were better left undiscovered
wcjfII83CYc,finland just found something that could change the world forever
xfQ0X7vgFqc,travel hacks that can get you into serious trouble
ffBDJApEEGg,this is what 1000 mosquito bites would do to your body
K1Yl3WJxZIw,oxford scientists just made teleportation a reality
QdrXjlfidLY,these 17 riddles will trick even the best detectives
THHjP8fV8PA,international team built a monster lab deep underground heres why
0-rF6iqIdQs,insider tips that make you effortlessly smart
W0MGfPSIemc,your classroom map was lying to you
X2MiWzZIfh4,theyre bringing back the dodo bird for real this time
gJTUiUBX8b8,scientists suspect 3iatlas is an alien craft
