id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount,transcript
4-QCaafcXB0,"The moment he saw me, Abdul Samad started shaking with fear","Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-30T12:30:05Z,,22,en,hi,https://i.ytimg.com/vi/4-QCaafcXB0/default.jpg,https://i.ytimg.com/vi/4-QCaafcXB0/hqdefault.jpg,0:00:52,6045,441,3,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Mv8h4mdarkQ,How you deal with danger ? | Lt Col Kaushalendra Singh,"Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-30T04:30:28Z,,22,en,hi,https://i.ytimg.com/vi/Mv8h4mdarkQ/default.jpg,https://i.ytimg.com/vi/Mv8h4mdarkQ/hqdefault.jpg,0:00:33,52685,1920,3,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
8dL4On_O7wI,INDO PAK WAR 1965: 7 Day Without Food and water,"Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-29T13:30:17Z,,22,en,hi,https://i.ytimg.com/vi/8dL4On_O7wI/default.jpg,https://i.ytimg.com/vi/8dL4On_O7wI/hqdefault.jpg,0:00:59,29091,1384,11,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
_ca_JlhNNz8,PART - 2: The spy had already written in the letter that fire would come.,"Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-29T07:30:31Z,,22,en,hi,https://i.ytimg.com/vi/_ca_JlhNNz8/default.jpg,https://i.ytimg.com/vi/_ca_JlhNNz8/hqdefault.jpg,0:00:53,17096,625,2,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
MD9wR-uUa7I,PART - 1: When I received a letter from a Pakistani spy,"Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-29T05:04:52Z,,22,en,hi,https://i.ytimg.com/vi/MD9wR-uUa7I/default.jpg,https://i.ytimg.com/vi/MD9wR-uUa7I/hqdefault.jpg,0:01:00,114337,3662,16,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
Sl7fGRiShjg,Inside the 1965 War: Col Ravel Singh’s Untold Battlefield Truth — From Mandi Operation to OP Hill,"Step into the real 1965 Indo–Pakistan War — not the textbook version, but the raw, unfiltered ground reality lived by Lt Col Ravel Singh, one of the bravest officers of the Sikh Regiment.

In this exclusive episode, Lt Col Ravel Singh takes us through the intense battles of Poonch, Mandi, Mendhar and OP Hill, where every decision meant life or death.

From infiltrators entering Indian villages, to Mandi town being minutes away from destruction, to the moment an entire civilian population had to be rescued under direct fire — this conversation captures the true chaos, courage and strategy of war.

Hear the unbelievable story of how:
500 mortar rounds were fired to break enemy positions and save Mandi town
Pakistani infiltrators reached inside the civilian zone
A young officer chose to walk into danger rather than away from it
Communication failures and lack of reinforcements changed the course of operations
One officer survived 7 days of continuous Pakistani firing with no food, no water and no artillery support
OP Hill turned into one of the most brutal and decisive engagements of the 1965 war
Civilians, soldiers and officers fought side-by-side against overwhelming odds

Lt Col Ravel Singh also reveals:
What actually happens in close-range firefights
How battlefield leadership saves (or costs) lives
The mindset of infiltrators and the reality of hand-to-hand combat
Untold stories of bravery, loss and sacrifice

Decisions that shaped an entire warfront — and remained unheard for decades

This is not a scripted war story.
This is Lt Col Ravel Singh’s truth — a soldier’s memory, preserved exactly as it happened.

#1965war #ltcolravelsingh #mandioperation #ophill #indianarmy #sikhregiment #warstories #battlefieldtruth #monksandwarriors #indianmilitaryhistory #indiapakistanwar #realwarstories #veteranvoices #wardocumentary #untoldhistory #poonchsector #mendhar #infiltration1965 #armyheroes #truestory",2025-11-28T12:42:32Z,"lt col ravel singh, 1965 war, india pakistan war, mandi operation, op hill, sikh regiment, indian army stories, war documentary india, real war stories, indian military history, ponch sector, mendhar sector, pak infiltrators 1965, indian army interview, veteran interview india, war heroes india, monks and warriors, indian defence stories, battlefield truth, untold war stories, army podcast india, indian army bravery, indo pak war 1965 documentary, soldier stories india",22,en,hi,https://i.ytimg.com/vi/Sl7fGRiShjg/default.jpg,https://i.ytimg.com/vi/Sl7fGRiShjg/hqdefault.jpg,2:13:27,87727,2658,240,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
FjaUWScDrKo,Operation Rainbow | One of the most successful operation | 21 Para SF | Part 2,"Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-28T04:30:16Z,,22,en,hi,https://i.ytimg.com/vi/FjaUWScDrKo/default.jpg,https://i.ytimg.com/vi/FjaUWScDrKo/hqdefault.jpg,0:01:22,48232,2298,7,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
2eB5txZ6ZVE,Operation Rainbow | One of the most successful operation | 21 Para SF | Part 1,"Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-27T12:30:07Z,,22,en,hi,https://i.ytimg.com/vi/2eB5txZ6ZVE/default.jpg,https://i.ytimg.com/vi/2eB5txZ6ZVE/hqdefault.jpg,0:00:59,55681,2217,4,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
N0M6pks6ee8,How Col Kaushal Kashyap cleared probation under Col Mandeep Singh Mann,"Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-27T04:30:21Z,,22,en,hi,https://i.ytimg.com/vi/N0M6pks6ee8/default.jpg,https://i.ytimg.com/vi/N0M6pks6ee8/hqdefault.jpg,0:00:54,476909,23038,47,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
azZhDGTB3ng,Huge Success In Operation: Eliminated 10 Militants | Col Mandeep Singh Mann,"Welcome to Monks & Warriors by Col Kaushal Kashyap, SC and Lt Col Kaushalendra Singh, SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honors these brave souls for their exceptional valor and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Join us as we delve into inspiring stories of courage, resilience, and sacrifice. Hear firsthand accounts of their heroic journeys, the challenges they faced, and the triumphs they achieved.

Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest!",2025-11-26T12:30:06Z,,22,en,hi,https://i.ytimg.com/vi/azZhDGTB3ng/default.jpg,https://i.ytimg.com/vi/azZhDGTB3ng/hqdefault.jpg,0:00:59,28196,1083,4,public,UC7qfffOXz7AYlnJlcfkMmZw,Monks & Warriors by Kaushal & Kaushalendra,"Welcome to Monks & Warriors by Col Kaushal Kashyap,SC & Lt Col Kaushalendra Singh,SM

In this unique channel, we bring you face-to-face with real-life heroes from the Indian Armed Forces, Police, Central Police Organisations like BSF, CRPF, ITBP, and various other fields such as Sports, Medicine, and Law. These are individuals whose remarkable contributions significantly impact our daily lives. Hosted by special forces officers, our platform honours these brave souls for their exceptional valour and dedication. We also support and highlight individuals who, while not having a strong social media presence, profoundly impact many lives through their good deeds.

Business Inquiries, Collaborations & Promotions
We’d love to hear from you! Please connect with us at: monksnwarriors@gmail.com


Subscribe now and be part of a community that celebrates the indomitable spirit of our nation's finest! Whatsapp at +918269633286
",IN,https://yt3.ggpht.com/GW3wNpCKsUoG7BK1mo-o4Y1cpZIRtOIrGGK_QxEZs17vAdx3QimGwFkVVbX3CjaiQSBgMbTT6Q=s88-c-k-c0x00ffffff-no-rj,1080000,753,Error fetching transcript: type object 'YouTubeTranscriptApi' has no attribute 'list_transcripts'
